,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
2913,S2VC2AQ6TC,2024-10-10 16:17:31.208074+00:00,Homewood Suites by Hilton Tampa - Port Richey,11115 US Highway 19,,Port Richey,FL,34668,Booked,2024-11-04,2024-12-04,1.00
2914,6FXN6EEULJ,2024-10-10 16:17:50.857972+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,2.00
2915,J6CQN5MHNK,2024-10-10 16:18:30.536040+00:00,Hampton Inn & Suites Tarpon Springs,39284 Us Highway 19 N,,Tarpon Springs,FL,34689,Booked,2024-10-29,2024-11-29,1.00
2932,BLMMGE5337,2024-10-10 16:43:42.614768+00:00,Days Inn & Suites,10826 US Highway 19,,Port Richey,FL,34668,Booked,2024-10-20,2024-11-19,2.00
2938,ZXQ85BY2AU,2024-10-10 16:48:58.705375+00:00,Hampton Inn Spring Hill,1344 Commercial Way,,Spring Hill,FL,34606,Applicant Accepted,2024-10-31,2024-11-30,7.00
2939,ZXQ85BY2AU,2024-10-10 16:48:58.705375+00:00,Hampton Inn Spring Hill,1344 Commercial Way,,Spring Hill,FL,34606,Applicant Accepted,2024-10-31,2024-11-30,7.00
2949,M8EBBXXEME,2024-10-10 16:59:11.449425+00:00,Super 8 by Wyndham,5005A 34th St N,,St. Petersburg,FL,33714,Rejected,2024-10-27,2024-11-25,3.00
2957,Y5PWKY96JK,2024-10-10 17:10:31.360339+00:00,Residence Inn by Marriott Tampa at USF/ Medical Center,13420 N Telecom Pkwy,,Tampa,FL,33637,Moved Out,2024-10-15,2024-10-18,5.00
2958,Y5PWKY96JK,2024-10-10 17:10:31.360339+00:00,SureStay Hotel by Best Western St. Pete Clearwater Airport,3655 Hospitality Lane,,Clearwater,FL,33762,Rejected,,,5.00
2959,Y5PWKY96JK,2024-10-10 17:10:31.360339+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19 N,,St. Petersburg,FL,33781,Moved Out,2024-10-18,2024-10-20,5.00
2964,MPSVCMPCKH,2024-10-10 17:19:25.031471+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-28,2024-11-27,1.00
2965,SZD5FMLQNT,2024-10-10 17:24:52.443359+00:00,Residence Inn by Marriott Tampa Wesley Chapel,2867 LAJUANA BLVD,,Wesley Chapel,FL,33543,Booked,2024-10-25,2024-11-24,2.00
2972,G8YEKPEDFU,2024-10-10 17:58:52.848005+00:00,Home 2 Suites by Hilton Largo,10145 Ulmerton Road,,Largo,FL,33771,Booked,2024-11-02,2024-12-02,3.00
2978,7JP78HQMZT,2024-10-10 18:12:52.895245+00:00,Rodeway Inn,"4076 S Suncoast Blvd, Homosassa, FL 34446",,Homossasa,FL,34446,Booked,2024-10-19,2024-11-18,4.00
